council_lead,fmp,stock_orig,species,no_cap_text,individual_holdings_cap,catcher_processor_holdings_cap,vessel_holdings_cap,processor_holdings_cap,crew_holdings_cap,catcher_processor_use_cap,cooperative_use_cap,processor_use_cap,individual_vessel_use_cap,individual_vessel_use_cap_text
PFMC,Pacific Coast Groundfish,English sole - Pacific Coast,Parophrys vetulus,NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish North,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Minor Slope Rockfish North,"Sebastes aurora, Sebastes rufus, Sebastes melanostomus, Sebastes crameri, Sebastes alutus, Sebastes babcocki, Sebastes aleutianus, Sebastes zacentrus, Sebastes borealis, Sebastes diploproa, Sebastes reedi",NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Yellowtail rockfish - Northern Pacific Coast,Sebastes flavidus,NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Widow rockfish - Pacific Coast,Sebastes entomelas,NA,5.10,NA,NA,NA,NA,NA,NA,NA,8.50,NA
PFMC,Pacific Coast Groundfish,Longspine thornyhead - Pacific Coast,Sebastolobus altivelis,NA,6.00,NA,NA,NA,NA,NA,NA,NA,9.00,NA
PFMC,Pacific Coast Groundfish,Minor Slope Rockfish South,"Sebastes aurora, Sebastes rufus, Sebastes melanostomus, Sebastes crameri, Sebastes alutus, Sebastes babcocki, Sebastes aleutianus, Sebastes zacentrus, Sebastes borealis, Sebastes diploproa, Sebastes reedi",NA,6.00,NA,NA,NA,NA,NA,NA,NA,9.00,NA
PFMC,Pacific Coast Groundfish,Shortspine thornyhead - Pacific Coast,Sebastolobus alascanus,NA,6.00,NA,NA,NA,NA,NA,NA,NA,9.00,NA
PFMC,Pacific Coast Groundfish,Canary rockfish - Pacific Coast,Sebastes pinniger,NA,4.40,NA,NA,NA,NA,NA,NA,NA,10.00,NA
PFMC,Pacific Coast Groundfish,Yelloweye rockfish - Pacific Coast,Sebastes ruberrimus,NA,5.70,NA,NA,NA,NA,NA,NA,NA,11.40,NA
PFMC,Pacific Coast Groundfish,Lingcod - Southern Pacific Coast,Ophiodon elongatus,NA,2.50,NA,NA,NA,NA,NA,NA,NA,13.30,NA
