council_lead,fmp,stock,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28
WPFMC,Hawaii Archipelago Ecosystem,Bottomfish Multi-species Complex - Northwestern Hawaiian Islands,Etelis carbunculus, Etelis coruscans, Pristipomoides filamentosus, Pristipomoides zonatus, Aprion virescens, Seriola dumerili,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Surgeonfishes Complex - Puerto Rico,Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Croix in the EEZ,Surgeonfishes Complex - St. Croix,Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Surgeonfishes Complex - St. Thomas / St. John,Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Triggerfishes Complex - Puerto Rico,Canthidermis sufflamen, Balistes vetula, Balistes capriscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Grouper 5 Complex - St. Thomas / St. John,Mycteroperca interstitialis, Hyporthodus flavolimbatus, Hyporthodus mystacinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Shark Complex - Bering Sea / Aleutian Islands,Somniosus pacificus, Squalus acanthias, Lamna ditropis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Gulf of Alaska,Shark Complex - Gulf of Alaska,Somniosus pacificus, Squalus acanthias, Lamna ditropis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Snapper 4 Complex - Puerto Rico,Lutjanus analis, Lutjanus jocu, Lutjanus apodus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Smoothhound Complex - Gulf,Mustelus canis, Mustelus norrisi, Mustelus sinusmexicanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Crustacean Complex - Northwestern Hawaiian Islands,Panulirus marginatus, Scyllarides squammosus, Ranina ranina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Pacific Remote Island Areas Ecosystem,Crustacean Complex - Pacific Remote Island Areas,Panulirus marginatus, Scyllarides squammosus, Ranina ranina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Jacks Complex - Gulf of Mexico,Seriola rivoliana, Seriola dumerili, Scadella vimbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Prohibited Parrotfishes Complex - Puerto Rico,Scarus coeruleus, Scarus coelestinus, Scarus guacamaia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Croix in the EEZ,Prohibited Parrotfishes Complex - St. Croix,Scarus coeruleus, Scarus coelestinus, Scarus guacamaia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Prohibited Parrotfishes Complex - St. Thomas / St. John,Scarus coeruleus, Scarus coelestinus, Scarus guacamaia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Gulf of Alaska,Thornyhead Rockfish Complex - Gulf of Alaska,Sebastolobus alascanus, Sebastolobus altivelis, Sebastolobus macrochir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
