council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Tiger shark - Atlantic and Gulf of Mexico,Tiger shark - Atlantic and Gulf of Mexico,Galeocerdo cuvier,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galeocerdo cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Nurse shark - Atlantic and Gulf of Mexico,Nurse shark - Atlantic and Gulf of Mexico,Ginglymostoma cirratum,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginglymostoma cirratum,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Witch flounder - Northwestern Atlantic Coast,Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,ZJK,,y,,y,,,,,,,,,,,,,,,"catch share: sector (98%), common pool (2%)",,implicit (set by catch shares),,set aside allocation for non-directed fisheries and other untracked subcomponents (recreational if no formal rec allocation),common pool subsector,"Trimester 1 (55%), Trimester 2 (20%), Trimester 3 (25%)",apportioned to each trimester according to seasonal fishing effort,"common pool subsector only, set in mt for 2024, converted to percents",y,,historical,Potential Sector Contributions summed to sector allocations based on historical catch from 1996-2006,,y,sector,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ; https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/northeast-multispecies-common-pool-fishery,,Glyptocephalus cynoglossus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Rex sole - Gulf of Alaska,Rex sole - Gulf of Alaska,Glyptocephalus zachirus,ZJK,,y,,"Spatial (if individual TAC for each subregion counts) otherwise, no allocation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyptocephalus zachirus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Rex sole - Pacific Coast,Rex sole - Pacific Coast,Glyptocephalus zachirus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glyptocephalus zachirus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,South Atlantic Grunts Complex,Grunts Complex - South Atlantic,"Haemulon carbonarium, Haemulon margaritaceum, Haemulon sciurus, Haemulon aurolineatum, Haemulon plumieri",ZJK,,n,,y,,,,,,,,,explicit,"commercial, recreational","1986-2008, 2006-2008",catch,species-specific,,,,,,,,,,,,,historical,,,,NA,,,,,,Haemulon carbonarium,Haemulon margaritaceum,Haemulon sciurus,Haemulon aurolineatum,Haemulon plumieri,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ margate,Margate - St. Thomas / St. John,Haemulon margaritaceum,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Haemulon margaritaceum,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico white grunt,White grunt - Puerto Rico,Haemulon plumieri,ZJK,,n,,y,,,,,,,,,implicit,"commercial (99%), recreational (1%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Haemulon plumieri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ Grunts 1 Complex,Grunts 1 Complex - St. Thomas / St. John,"Haemulon plumieri, Haemulon sciurus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Haemulon plumieri,Haemulon sciurus,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC Grunts Complex,Grunts Complex - St. Croix,"Haemulon plumieri, Haemulon sciurus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Haemulon plumieri,Haemulon sciurus,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Wrasses 2 Complex,Wrasses 2 Complex - Puerto Rico,"Halichoeres radiatus, Bodianus rufus ",ZJK,,n,,y,,,,,,,,,implicit,"commercial (79%), recreational (21%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Halichoeres radiatus,Bodianus rufus,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Deepwater shrimps (Heterocarpus spp.) - Main Hawaiian Islands,Deepwater shrimps (Heterocarpus spp.) - Main Hawaiian Islands,"Heterocarpus woodmasoni, Heterocarpus laevigatus",CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heterocarpus woodmasoni,Heterocarpus laevigatus,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Kelp greenling - Oregon,Kelp greenling - Oregon,Hexagrammos decagrammus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hexagrammos decagrammus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Flathead sole - Gulf of Alaska,Flathead sole - Gulf of Alaska,Hippoglossoides elassodon,ZJK,,y,,"Spatial (if individual TAC for each subregion counts) otherwise, no allocation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hippoglossoides elassodon,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Flathead Sole Complex,Flathead Sole Complex - Bering Sea / Aleutian Islands,"Hippoglossoides elassodon, Hippoglossoides robustus",ZJK,,y,,y,,,,,,,,,,,,,,,CDQ; ICA; Amendment 80; BSAI TLAS (non-Amendment 80),,100% to Amendment 80,,,,,,,y,2008,historical,"best of 1998-2004 unless you didn't have any catch between 1998-2004, in which you are automatically allocated 0.1%",person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,,individuals can transfer ownership of quota to cooperatives annually,https://www.law.cornell.edu/cfr/text/50/679.90,,Hippoglossoides elassodon,Hippoglossoides robustus,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,American plaice - Gulf of Maine / Georges Bank,American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,ZJK,,y,,y,,,,,,,,,,,,,,,"catch share: sector (98%), common pool (2%)",,implicit (set by catch shares),,set aside allocation for non-directed fisheries and other untracked subcomponents (recreational if no formal rec allocation),common pool subsector,"Trimester 1 (74%), Trimester 2 (8%), Trimester 3 (18%)",apportioned to each trimester according to seasonal fishing effort,"common pool subsector only, set in mt for 2024, converted to percents",y,,historical,Potential Sector Contributions summed to sector allocations based on historical catch from 1996-2006 ,,y,sector,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ; https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/northeast-multispecies-common-pool-fishery,,Hippoglossoides platessoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Atlantic halibut - Northwestern Atlantic Coast,Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,ZJK,,y,limited,y,,,,,,,,,,,,,,,,,,,set aside allocation for non-directed fisheries,,,,,,,,,,,,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ,,Hippoglossus hippoglossus,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPHC,IPHC,Pacific Halibut Catch Sharing Plan,Pacific halibut,Pacific halibut,Hippoglossus stenolepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2024/01/2024-pacific-halibut-catch-sharing-plan.pdf/,"Not sure whether to include or not, ""Pacific halibut are managed by the International Pacific Halibut Commission (IPHC) and through the Councilâ€™s Halibut Catch Sharing Plan, a framework that dictates how the total allowable catch will be divided off the West Coast. The total allowable catch is set each January by the IPHC, and each year the Council solicits changes to its Catch Sharing Plan between September and November, making final recommendations in November of each year.

Recently, the Council has taken steps to transition routine management of the non-Indian commercial directed halibut fishery from IPHC to the Council and NMFS. The Council is working closely with IPHC and stakeholders during this process. However, the IPHC will continue to set the total allowable catch for Pacific halibut, and Council will continue to develop a Catch Sharing Plan.""",Hippoglossus stenolepis,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC longspine squirrelfish,Longspine squirrelfish - St. Croix,Holocentrus adscensionis,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Holocentrus adscensionis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Other Fish,Other Fish - Pacific Coast,"Hydrolagus colliei, Antimora microlepis, Coryphaenoides acrolepis, Coryphaenoides cinereus, Coryphaenoides rupestris, Macrourus berglax, Macrourus carinatus, Macrourus whitsoni",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrolagus colliei,Antimora microlepis,Coryphaenoides acrolepis,Coryphaenoides cinereus,Coryphaenoides rupestris,Macrourus berglax,Macrourus carinatus,Macrourus whitsoni,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Shrimp Fishery of the Gulf of Mexico,Royal red shrimp - Gulf of Mexico,Royal red shrimp - Gulf of Mexico,Hymenodora rosa,ZJK,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hymenodora rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Grouper 5 Complex,Grouper 5 Complex - Puerto Rico,"Hyporthodus flavolimbatus, Hyporthodus mystacinus",ZJK,,n,,y,,,,,,,,,implicit,"commercial (78%), recreational (22%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Hyporthodus flavolimbatus,Hyporthodus mystacinus,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Deep Water Grouper Complex,Deep Water Grouper Complex - Gulf of Mexico,"Hyporthodus nigritus, Hyporthodus niveatus, Hyporthodus flavolimbatus, Epinephelus drummondhayi",ZJK,,n,,y,,,,,,,,,implicit,"recreational (4.3%), commercial (95.7%)",not specified,,,,,,,,,,,,,y,,,,,,,,,,,,Hyporthodus nigritus,Hyporthodus niveatus,Hyporthodus flavolimbatus,Epinephelus drummondhayi,,,,,,,,,,,,,,,,,,,,,,,,
MAFMC,MAFMC,"Mackerel, Squid and Butterfish",Northern shortfin squid - Northwestern Atlantic Coast,Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,CMF,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illex illecebrosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Other Flatfish,Other Flatfish - Pacific Coast,"Isopsetta isolepis, Pleuronichthys decurrens, Hippoglossoides elassodon, Citharichthys sordidus, Glyptocephalus zachirus, Lepidopsetta bilineata, Psettichthys melanostictus",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isopsetta isolepis,Pleuronichthys decurrens,Hippoglossoides elassodon,Citharichthys sordidus,Glyptocephalus zachirus,Lepidopsetta bilineata,Psettichthys melanostictus,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Black marlin - Pacific,Black marlin - Pacific,Istiompax indica,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istiompax indica,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Sailfish - Pacific,Sailfish - Pacific,Istiophorus platypterus,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istiophorus platypterus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Sailfish - Western Atlantic,Sailfish - Western Atlantic,Istiophorus platypterus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"managed by ICCAT, no allocations",Istiophorus platypterus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Shortfin mako - North Atlantic,Shortfin mako - North Atlantic,Isurus oxyrinchus,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isurus oxyrinchus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Shortfin mako - North Pacific,Shortfin mako - North Pacific,Isurus oxyrinchus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Isurus oxyrinchus,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Longfin mako - North Pacific,Longfin mako - North Pacific,Isurus paucus,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isurus paucus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,White marlin - Atlantic,White marlin - Atlantic,Kajikia albida,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.iccat.int/Documents/Recs/compendiopdf-e/2015-05-e.pdf,250 landing limit combined with white marlin and roundscale spearfish,Kajikia albida,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Striped marlin - Eastern Pacific,Striped marlin - Eastern Pacific,Kajikia audax,ZJK,,n,,n,,,,,,,,,,,,,"The FMP does not establish initial quota allocations to different fisheries or fishery sectors, except that the commercial sale of striped marlin is prohibited, a de facto allocation to the recreational sector. ",,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,de facto allocation because 100% recreational (no commercial fishery),Kajikia audax,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Striped marlin - Western and Central North Pacific,Striped marlin - Western and Central North Pacific,Kajikia audax,ZJK,,n,,n,,,,,,,,,,,,,"The FMP does not establish initial quota allocations to different fisheries or fishery sectors, except that the commercial sale of striped marlin is prohibited, a de facto allocation to the recreational sector. ",,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,de facto allocation because 100% recreational (no commercial fishery),Kajikia audax,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Skipjack tuna - Eastern Pacific,Skipjack tuna - Eastern Pacific,Katsuwonus pelamis,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Katsuwonus pelamis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Skipjack tuna - Western and Central Pacific,Skipjack tuna - Western and Central Pacific,Katsuwonus pelamis,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Katsuwonus pelamis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Skipjack tuna - Western Atlantic,Skipjack tuna - Western Atlantic,Katsuwonus pelamis,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"managed by ICCAT, no allocations",Katsuwonus pelamis,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Hogfish - Carolinas,Hogfish - Carolinas,Lachnolaimus maximus,ZJK,,n,,y,,,,,,,,,explicit,"commercial (69.13%), recreational (30.87%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,split from FK/EK in 2016; weighs recent years more heavily  (1986-2008 < 2006-2008),Lachnolaimus maximus,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Reef Fish Resources of the Gulf of Mexico,Hogfish - Eastern Gulf of Mexico,Hogfish - Eastern Gulf of Mexico,Lachnolaimus maximus,ZJK,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnolaimus maximus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Hogfish - Florida Keys / East Florida,Hogfish - Florida Keys / East Florida,Lachnolaimus maximus,ZJK,,n,,y,,,,,,,,,explicit,"commercial (9.63%), recreational (90.37%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,split from Carolinas in 2016; weighs recent years more heavily  (1986-2008 < 2006-2008),Lachnolaimus maximus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico hogfish,Hogfish - Puerto Rico,Lachnolaimus maximus,ZJK,,n,,y,,,,,,,,,implicit,"commercial (89%), recreational (11%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Lachnolaimus maximus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ hogfish,Hogfish - St. Thomas / St. John,Lachnolaimus maximus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Lachnolaimus maximus,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Salmon shark - North Pacific,Salmon shark - North Pacific,Lamna ditropis,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamna ditropis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Porbeagle - Northwestern Atlantic,Porbeagle - Northwestern Atlantic,Lamna nasus,ZJK,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2021-08-06/pdf/2021-16770.pdf,,Lamna nasus,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Opah - Pacific,Opah - Pacific,Lampris guttatus,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lampris guttatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Skate Complex,Little skate - Georges Bank / Southern New England,Little skate - Georges Bank / Southern New England,Leucoraja erinacea,ZJK,,y,,y,,,,,,,,,,,,,,,"skate wing fishery (66.5%), bait fishery (33.5%)",1995-2006,,,incidental catch from groundfish/scallop/monkfish/state fisheries,,"Wing fishery: 2 seasons, Bait fishery: 3 seasons",,,,,historical,,,,,,,,,"most little skate goes into bait fishery, therefore, you can argue there isn't allocation of little skate. however, all skate species in the NE skate complex are managed as one, and there's an overall allocation between the bait fishery and the wing fishery, so maybe that accounts? but weird because it's above the scale of the stock",Leucoraja erinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Skate Complex,Rosette skate - Southern New England / Mid-Atlantic,Rosette skate - Southern New England / Mid-Atlantic,Leucoraja garmani,ZJK,,n,,y,,,,,,,,,,,,,,,"skate wing fishery (66.5%), bait fishery (33.5%)",1995-2006,,,incidental catch from groundfish/scallop/monkfish/state fisheries,,"Wing fishery: 2 seasons, Bait fishery: 3 seasons",,,,,,,,,,,,,,"most skates harvested are either little or winter, therefore, you can argue there isn't allocation of little skate. however, all skate species in the NE skate complex are managed as one, and there's an overall allocation between the bait fishery and the wing fishery, so maybe that accounts? but weird because it's above the scale of the stock",Leucoraja garmani,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Skate Complex,Winter skate - Georges Bank / Southern New England,Winter skate - Georges Bank / Southern New England,Leucoraja ocellata,ZJK,,y,,y,,,,,,,,,,,,,,,"skate wing fishery (66.5%), bait fishery (33.5%)",1995-2006,,,incidental catch from groundfish/scallop/monkfish/state fisheries,,"Wing fishery: 2 seasons, Bait fishery: 3 seasons",,,,,historical,,,,,,,,,"see above, but for skate harvested for wings, there IS a seasonal allocation",Leucoraja ocellata,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Yellowfin sole - Bering Sea / Aleutian Islands,Yellowfin sole - Bering Sea / Aleutian Islands,Limanda aspera,ZJK,,y,n,y,,,,,,,,,,,,,,,CDQ; ICA; Amendment 80; BSAI TLAS (non-Amendment 80),,split between Amendment 80 and non-Amendment 80 vessels based on yellowfin ITAC;,,,,,,,y,,historical,"best of 1998-2004 unless you didn't have any catch between 1998-2004, in which you are automatically allocated 0.5%",person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,,"individuals can transfer ownership of quota to cooperatives annually; Transfers must be approved by NMFS before they become effective. Once a CQ transfer has been approved by NMFS, the CQ account of the transferring cooperative is debited and the CQ account of the receiving cooperative is credited.",,,Limanda aspera,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Yellowtail flounder - Cape Cod / Gulf of Maine,Yellowtail flounder - Cape Cod / Gulf of Maine,Limanda ferruginea,ZJK,,y,,y,,,,,,,,,,,,,,,"catch share: sector (98%), common pool (2%)",,implicit (set by catch shares),,set aside allocation for non-directed fisheries and other untracked subcomponents (recreational if no formal rec allocation),common pool subsector,"Trimester 1 (57%), Trimester 2 (26%), Trimester 3 (17%)",apportioned to each trimester according to seasonal fishing effort,"common pool subsector only, set in mt for 2024, converted to percents",y,,historical,Potential Sector Contributions summed to sector allocations based on historical catch from 1996-2006,,y,sector,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ; https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/northeast-multispecies-common-pool-fishery,,Limanda ferruginea,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Yellowtail flounder - Georges Bank,Yellowtail flounder - Georges Bank,Limanda ferruginea,ZJK,,n,,y,"US (42%), Canada (58%)",historical landings and current distribution based on trawl surveys,,,,,,,,,,,,,"catch share: sector (98%), common pool (2%)",,implicit (set by catch shares),,set aside allocation for non-directed fisheries,common pool subsector,"Trimester 1 (38%), Trimester 2 (31%), Trimester 3 (31%)",apportioned to each trimester according to seasonal fishing effort,"common pool subsector only, set in mt for 2024, converted to percents",y,,historical,Potential Sector Contributions summed to sector allocations based on historical catch from 1996-2006,,y,sector,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ; https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/northeast-multispecies-common-pool-fishery,,Limanda ferruginea,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Yellowtail flounder - Southern New England / Mid-Atlantic,Yellowtail flounder - Southern New England / Mid-Atlantic,Limanda ferruginea,ZJK,,y,,y,,,,,,,,,,,,,,,"catch share: sector (98%), common pool (2%)",,implicit (set by catch shares),,set aside allocation for non-directed fisheries and other untracked subcomponents (recreational if no formal rec allocation),common pool subsector,"Trimester 1 (21%), Trimester 2 (28%), Trimester 3 (51%)",apportioned to each trimester according to seasonal fishing effort,"common pool subsector only, set in mt for 2024, converted to percents",y,,historical,Potential Sector Contributions summed to sector allocations based on historical catch from 1996-2006,,y,sector,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ; https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/northeast-multispecies-common-pool-fishery,,Limanda ferruginea,,,,,,,,,,,,,,,,,,,,,,,,,,,
