council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Rock Sole Complex,Rock Sole Complex - Bering Sea / Aleutian Islands,"Lepidopsetta billineta, Lepidopsetta polyxystra",ZJK,,y,,y,,,,,,,,,,,,,,,CDQ; ICA; Amendment 80; BSAI TLAS (non-Amendment 80),,100% to Amendment 80,,,,,,,y,2008,historical,"best of 1998-2004 unless you didn't have any catch between 1998-2004, in which you are automatically allocated 0.5%",person = 30%; vessel = 20%,y,individual_cooperative,NPFMC,,individuals can transfer ownership of quota to cooperatives annually,https://www.law.cornell.edu/cfr/text/50/679.90,,Lepidopsetta billineta,Lepidopsetta polyxystra,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Gulf of Alaska Shallow Water Flatfish Complex,Shallow Water Flatfish Complex - Gulf of Alaska,"Hippoglossoides robustus, Isopsetta isolepis, Parophrys vetulus, Psettichthys melanostictus, Platichthys stellatus, Limanda aspera, Lepidopsetta bilineata, Lepidopsetta polyxystra",ZJK,,y,,"Spatial (if individual TAC for each subregion counts) otherwise, no allocation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hippoglossoides robustus,Isopsetta isolepis,Parophrys vetulus,Psettichthys melanostictus,Platichthys stellatus,Limanda aspera,Lepidopsetta bilineata,Lepidopsetta polyxystra,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Shallow Water Grouper Complex,Shallow Water Grouper Complex - Gulf of Mexico,"Mycteroperca phenax, Mycteroperca interstitialis, Mycteroperca bonaci, Mycteroperca venenosa",ZJK,,n,,y,,,,,,,,,implicit,"recreational (23%), commercial (77%)",not specified,,,,,,,,,,,,,,,,,,,,,,,,,Mycteroperca phenax,Mycteroperca interstitialis,Mycteroperca bonaci,Mycteroperca venenosa,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,South Atlantic Shallow Water Snapper- Grouper Complex,Shallow Water Snapper-Grouper Complex - South Atlantic,"Epinephelus adscensionis, Epinephelus guttatus, Cephalopholis fulva, Cephalopholis cruentata, Mycteroperca venenosa, Mycteroperca microlepis, Mycteroperca interstitialis",ZJK,,n,,y,,,,,,,,,explicit,"commercial, recreational","1986-2008, 2006-2008",catch,species-specific,,,,,,,,,,,,,historical,,,,NA,,,,,,Epinephelus adscensionis,Epinephelus guttatus,Cephalopholis fulva,Cephalopholis cruentata,Mycteroperca venenosa,Mycteroperca microlepis,Mycteroperca interstitialis,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Shark Complex,Shark Complex - Bering Sea / Aleutian Islands,"Somniosus pacificus, Squalus acanthias, Lamna ditropis",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somniosus pacificus,Squalus acanthias,Lamna ditropis,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Gulf of Alaska Shark Complex,Shark Complex - Gulf of Alaska,"Somniosus pacificus, Squalus acanthias, Lamna ditropis",ZJK,,n,,"Subsector if ICA counts, otherwise no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somniosus pacificus,Squalus acanthias,Lamna ditropis,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Skate Complex,Skate Complex - Bering Sea / Aleutian Islands,"Beringraja binoculata, Caliraja rhina, Bathyraja aleutica, Bathyraja interrupta, Bathyraja lindbergi, Bathyraja maculata, Bathyraja mariposa, Bathyraja minispinosa, Bathyraja taranetzi, Bathyrara trachura, Bathyraja violacea, Amblyraja badia, Bathyraja abyssicola, Bathyraja panthera, Bathyraja spinosissima",ZJK,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beringraja binoculata,Caliraja rhina,Bathyraja aleutica,Bathyraja interrupta,Bathyraja lindbergi,Bathyraja maculata,Bathyraja mariposa,Bathyraja minispinosa,Bathyraja taranetzi,Bathyrara trachura,Bathyraja violacea,Amblyraja badia,Bathyraja abyssicola,Bathyraja panthera,Bathyraja spinosissima,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Gulf of Alaska Skate Complex,Skate Complex - Gulf of Alaska,"Beringraja binoculata, Raja rhina, Bathyraja aleutica, Bathyraja parmifera, Bathyraja interrupta",ZJK,,n,,"Subsector if ICA counts, otherwise no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beringraja binoculata,Raja rhina,Bathyraja aleutica,Bathyraja parmifera,Bathyraja interrupta,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Gulf Smoothhound Complex,Smoothhound Complex - Gulf,"Mustelus canis, Mustelus norrisi, Mustelus sinusmexicanus",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mustelus canis,Mustelus norrisi,Mustelus sinusmexicanus,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Snake mackerels (Gempylidae) - Pacific,Snake mackerels (Gempylidae) - Pacific,Gempylus serpens,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gempylus serpens,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,South Atlantic Snappers Complex,Snappers Complex - South Atlantic,"Lutjanus buccanella, Lutjanus cyanopterus, Lutjanus griseus, Lutjanus synagris, Lutjanus analis, Etelis oculatus, Lutjanus campechanus, Lutjanus vivanus, Rhomboplites aurorubens, Ocyurus chrysurus",ZJK,,n,,y,,,,,,,,,explicit,"commercial, recreational","1986-2008, 2006-2008",catch,species-specific,,,,,,,,,,,,,historical,,,,NA,,,,,,Lutjanus buccanella,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus synagris,Lutjanus analis,Etelis oculatus,Lutjanus campechanus,Lutjanus vivanus,Rhomboplites aurorubens,Ocyurus chrysurus,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Western Pacific Squid Complex,Squid Complex - Western Pacific,NA,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Gulf of Alaska Thornyhead Rockfish Complex,Thornyhead Rockfish Complex - Gulf of Alaska,"Sebastolobus alascanus, Sebastolobus altivelis, Sebastolobus macrochir",ZJK,,y,n,y,,,,,,Western; Central; Eastern,,not confident these are allocations? just individual TACs? (I guess that's an allocation?),,,,,,,Central: Longline; CV; CP,,"Catch share program in Central GOA sets defacto allocations between CV and CP, but based on QS",,,,,,,y,,,"considered ""secondary"" species in catch share program, and therefore don't get individual quota, rather, CV and CP subsectors participating in Program get a portion of overall TAC for these bycatch species",,,,,,,,,Sebastolobus alascanus,Sebastolobus altivelis,Sebastolobus macrochir,,,,,,,,,,,,,,,,,,,,,,,,,
