"council","fmp","type","category","comm_name","species_orig","species"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Gray snapper","Lutjanus griseus","Lutjanus griseus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Lane snapper","Lutjanus synagris","Lutjanus synagris"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Mutton snapper","Lutjanus analis","Lutjanus analis"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Queen snapper","Etelis oculatus","Etelis oculatus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Red snapper","Lutjanus campechanus","Lutjanus campechanus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Silk snapper","Lutjanus vivanus","Lutjanus vivanus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Vermilion snapper","Rhomboplites aurorubens","Rhomboplites aurorubens"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Yellowtail snapper","Ocyurus chrysurus","Ocyurus chrysurus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Blueline tilefish","Caulolatilus microps","Caulolatilus microps"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Golden tilefish","Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Sand tilefish","Malacanthus plumieri","Malacanthus plumieri"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Gray triggerfish","Balistes capriscus","Balistes capriscus"
"SAFMC","South Atlantic Snapper-Grouper Fishery Management Plan","Target","Target","Ocean triggerfish","Canthidermis sufflamen","Canthidermis sufflamen"
"SAFMC","Gulf of Mexico and South Atlantic Coastal Migratory Pelagic Fishery Management Plan","Target","Target","Cobia","Rachycentron canadum","Rachycentron canadum"
"SAFMC","Gulf of Mexico and South Atlantic Coastal Migratory Pelagic Fishery Management Plan","Target","Target","King mackerel","Scomberomorus cavalla","Scomberomorus cavalla"
"SAFMC","Gulf of Mexico and South Atlantic Coastal Migratory Pelagic Fishery Management Plan","Target","Target","Spanish mackerel","Scomberomorus maculatus","Scomberomorus maculatus"
"SAFMC","Dolphin Wahoo Fishery Management Plan","Target","Target","Dolphinfish","Coryphaena hippurus","Coryphaena hippurus"
"SAFMC","Dolphin Wahoo Fishery Management Plan","Target","Target","Bullet mackerel","Auxis rochei","Auxis rochei"
"SAFMC","Dolphin Wahoo Fishery Management Plan","Target","Target","Frigate mackerel","Auxis thazard","Auxis thazard"
"SAFMC","Dolphin Wahoo Fishery Management Plan","Target","Target","Wahoo","Acanthocybium solandri","Acanthocybium solandri"
"SAFMC","Golden Crab Fishery Management Plan","Target","Target","Golden crab","Chaceon fenneri","Chaceon fenneri"
"SAFMC","South Atlantic Shrimp Fishery Management Plan","Target","Target","Rock shrimp","Sicyonia brevirostris","Sicyonia brevirostris"
"SAFMC","South Atlantic Shrimp Fishery Management Plan","Target","Target","Brown shrimp","Farfantepenaeus aztecus","Farfantepenaeus aztecus"
"SAFMC","South Atlantic Shrimp Fishery Management Plan","Target","Target","Pink shrimp","Farfantepenaeus duorarum","Farfantepenaeus duorarum"
"SAFMC","South Atlantic Shrimp Fishery Management Plan","Target","Target","White shrimp","Litopenaeus setiferus","Litopenaeus setiferus"
"SAFMC","Spiny Lobster Fishery Management Plan","Target","Target","Spiny lobster","Panulirus argus","Panulirus argus"
